Date,Close/Last,Volume,Open,High,Low,Day 
03/18/2020,$68.04,19498810,$64.79,$68.33,$60.00,0
03/23/2020,$62.80,17690000,$65.00,$66.88,$60.58,1
03/17/2020,$69.84,17122100,$67.51,$73.33,$62.40,2
03/16/2020,$66.79,17976680,$65.28,$72.97,$63.37,3
03/24/2020,$72.33,18849460,$65.70,$72.66,$64.00,4
03/19/2020,$70.34,16177150,$67.04,$72.71,$64.15,5
03/20/2020,$67.45,15761860,$71.51,$74.06,$67.20,6
02/07/2025,$68.68,27428700,$70.56,$70.81,$68.62,7
02/10/2025,$70.94,16201330,$69.36,$70.95,$69.12,8
01/16/2025,$71.11,13694630,$70.90,$71.23,$70.32,9
02/12/2025,$72.26,10810860,$70.60,$72.45,$70.33,10
02/11/2025,$71.34,9636623,$70.57,$71.99,$70.51,11
01/14/2025,$71.17,16732890,$72.07,$72.21,$70.53,12
08/05/2024,$71.42,13191530,$71.06,$72.62,$70.75,13
01/13/2025,$72.08,14584310,$71.17,$72.60,$70.78,14
01/17/2025,$70.84,9711265,$71.43,$71.52,$70.84,15
01/15/2025,$71.07,13468080,$71.99,$72.25,$70.84,16
07/25/2024,$71.41,13855390,$71.53,$72.43,$70.91,17
01/08/2025,$71.29,11854970,$71.56,$71.82,$71.01,18
07/24/2024,$71.09,18563320,$73.25,$73.39,$71.08,19
01/10/2025,$71.20,15677380,$71.85,$72.39,$71.09,20
01/21/2025,$73.17,14199940,$71.30,$73.27,$71.14,21
07/15/2024,$71.31,20775810,$73.00,$73.01,$71.24,22
07/16/2024,$72.81,20980670,$71.51,$72.96,$71.51,23
08/06/2024,$72.50,13469720,$71.66,$73.24,$71.51,24
02/13/2025,$73.21,9739567,$72.45,$73.60,$71.63,25
02/06/2025,$71.74,16059370,$75.24,$75.40,$71.63,26
07/10/2024,$72.54,21378210,$72.26,$72.64,$71.67,27
03/13/2020,$75.58,21859580,$78.20,$78.20,$71.76,28
07/19/2024,$72.70,11913320,$72.30,$72.82,$71.85,29
07/26/2024,$72.56,8891986,$72.00,$72.78,$71.87,30
08/02/2024,$74.01,11526630,$72.83,$74.13,$71.92,31
01/06/2025,$72.00,14947260,$73.75,$74.32,$71.97,32
01/07/2025,$72.09,10463510,$72.40,$73.44,$71.98,33
07/29/2024,$73.55,10471840,$72.50,$73.87,$72.20,34
07/11/2024,$73.39,15876670,$72.70,$73.75,$72.29,35
02/14/2025,$73.04,9254379,$73.17,$73.50,$72.34,36
07/18/2024,$72.38,14440130,$72.97,$73.93,$72.35,37
01/23/2025,$74.29,10677450,$73.34,$74.50,$72.37,38
07/09/2024,$72.46,23502450,$73.30,$74.14,$72.38,39
07/17/2024,$73.07,11161560,$72.53,$73.34,$72.50,40
08/07/2024,$72.62,9571247,$72.88,$74.21,$72.53,41
11/20/2024,$73.36,12290320,$73.66,$73.84,$72.71,42
07/08/2024,$73.05,29905040,$75.41,$75.49,$73.00,43
03/12/2020,$74.20,21534810,$78.23,$78.49,$73.00,44
01/03/2025,$73.31,10083480,$73.92,$74.19,$73.01,45
01/22/2025,$74.04,13029270,$73.38,$74.70,$73.01,46
08/08/2024,$74.19,8828032,$73.23,$74.21,$73.05,47
07/22/2024,$74.86,19385490,$73.12,$75.34,$73.07,48
07/12/2024,$73.42,14527520,$73.57,$74.05,$73.17,49
11/21/2024,$75.10,12818640,$73.36,$75.56,$73.20,50
02/03/2025,$76.59,18539220,$74.90,$76.69,$73.22,51
07/23/2024,$73.40,11041790,$74.63,$75.04,$73.24,52
01/02/2025,$73.67,10883420,$76.25,$76.69,$73.24,53
01/24/2025,$73.57,8106651,$74.07,$74.25,$73.25,54
08/01/2024,$73.85,9563543,$74.70,$74.79,$73.26,55
08/09/2024,$74.34,7186634,$74.12,$74.58,$73.37,56
01/27/2025,$75.58,11665380,$73.44,$75.85,$73.42,57
07/30/2024,$74.32,8515720,$73.69,$74.49,$73.46,58
11/19/2024,$73.91,12028440,$74.50,$74.73,$73.60,59
07/31/2024,$74.86,14632940,$74.50,$75.43,$73.92,60
08/12/2024,$74.64,7067256,$74.71,$75.00,$74.05,61
01/28/2025,$74.39,8694418,$75.33,$75.60,$74.16,62
11/18/2024,$74.89,12609190,$76.16,$76.20,$74.25,63
07/01/2024,$76.83,44369010,$75.50,$77.06,$74.29,64
01/29/2025,$76.58,11764840,$74.45,$77.12,$74.32,65
02/05/2025,$74.57,9807401,$76.30,$76.79,$74.40,66
02/18/2025,$77.59,28252380,$74.50,$77.68,$74.50,67
12/30/2024,$74.65,9042879,$75.60,$75.77,$74.55,68
